,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,avg_val,valid_cvar,test_cvar
13,0,1.1023684210526317,0,0.2,1.0,1.5,-404.53617260156545,0.145,-404.187245364964,0.156,0.007681557,0.095,0.074,-407.1996738596631,-406.68329365894346,-406.6832937901965,-404.20560943152094,-404.1872448047499
17,10,1.5013157894736844,10,0.15,2.0,1.5,-408.3542285903838,0.14,-408.63758018161445,0.166,0.008292999,0.175,0.194,-411.8442557159706,-411.3438458303232,-411.34384595054655,-408.35422858058746,-408.3600112763112
13,20,1.1023684210526317,20,0.2,1.0,1.5,-405.23394720636577,0.145,-405.2179210442257,0.152,0.007617856,0.18,0.182,-406.4423970946684,-406.2093423425628,-406.209342607686,-405.2187642244264,-405.2179207750849
15,30,1.301842105263158,30,0.15,2.0,1.5,-408.22590103599424,0.155,-407.6456316870044,0.176,0.031012404,0.145,0.148,-410.34754674634064,-410.0530917061901,-410.0530918812637,-407.6761721323839,-407.6456315815853
14,40,1.2021052631578948,40,0.15,2.0,1.5,-408.2427257750161,0.155,-408.145505471093,0.204,0.00935792,0.225,0.228,-409.67629141561224,-409.601002523434,-409.6010027966212,-408.1506220780922,-408.1455051358512
15,50,1.301842105263158,50,0.15,2.0,1.5,-408.4659180434539,0.15,-408.1302920807018,0.156,0.008660599,0.19,0.178,-410.48694986270885,-410.424514701752,-410.4245148600398,-408.1479562639044,-408.1302917210358
18,60,1.6010526315789475,60,0.2,2.0,1.5,-406.753770141648,0.14,-406.48905558677,0.158,0.008795248,0.17,0.186,-409.6862748137849,-409.3521315148586,-409.35213171856674,-406.50298756831705,-406.4890551221691
15,70,1.301842105263158,70,0.15,2.0,1.5,-406.32884027641353,0.14,-406.1209621692152,0.16,0.008281239,0.165,0.168,-408.5792364644929,-408.316992092593,-408.3169923664582,-406.13190279776626,-406.1209617918574
14,80,1.2021052631578948,80,0.15,2.0,1.5,-403.06693950137264,0.15,-402.8961499760693,0.128,0.007974869,0.115,0.108,-404.7784732652493,-404.7023875021519,-404.7023878351555,-402.9051388356505,-402.8961496676183
16,90,1.401578947368421,90,0.2,2.0,1.5,-406.2825690173465,0.145,-407.3073860971661,0.152,0.007568287,0.225,0.238,-409.55524413196474,-409.7535632305035,-409.7535634187347,-406.28256900244475,-406.4289714548746
