,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover
31,0,0.88875,0,0.05,1.5,1,-0.9978529747539184,0.06,-1.0300193833462683,0.042,0.000521841,0.0,0.0
31,10,0.88875,10,0.1,1.5,1,-0.9522330124960294,0.05,-0.8774127077117129,0.062,0.000513221,0.0,0.0
37,20,1.1974358974358976,20,0.35,0.75,1,-0.9518560523928544,0.06,-0.8304300147718133,0.08,0.000411341,0.0,0.0
41,30,1.3923076923076925,30,0.3,0.5,1,-0.9538613518221452,0.05,-0.8316438021559845,0.034,0.000486241,0.0,0.0
30,40,0.8516666666666667,40,0.1,1.0,1,-0.8979494215370889,0.05,-0.8943353517979918,0.09,0.000506232,0.0,0.0
37,50,1.1974358974358976,50,0.3,1.5,1,-0.90637624504636,0.06,-0.8746257211076122,0.048,0.000528601,0.0,0.0
39,60,1.294871794871795,60,0.33,1.0,1,-0.9319861591227814,0.05,-0.8174253548292219,0.076,0.000383422,0.0,0.0
38,70,1.2461538461538462,70,0.3,1.5,1,-0.8731803589795866,0.045,-0.8542753330671891,0.054,0.000494031,0.0,0.0
33,80,0.9629166666666668,80,0.25,1.0,1,-0.900226555101779,0.055,-0.8851642963520843,0.058,0.000364001,0.0,0.0
34,90,1.0,90,0.23,1.5,1,-0.991195805675958,0.06,-0.9149341237791998,0.066,0.000548811,0.0,0.0
